iter	Passed	Remaining
0	1353	133983
1	2163	106017
2	3211	103852
3	4288	102912
4	5182	98459
5	6093	95457
6	7032	93428
7	7979	91760
8	8891	89901
9	9806	88259
10	10732	86837
11	11704	85835
12	12753	85347
13	13677	84017
14	14439	81823
15	15232	79971
16	16138	78795
17	17048	77666
18	17838	76049
19	18617	74471
20	19520	73435
21	20402	72337
22	21295	71292
23	22083	69931
24	23010	69032
25	23938	68132
26	24860	67215
27	25664	65994
28	26558	65021
29	27521	64217
30	28430	63281
31	29240	62136
32	30153	61221
33	30929	60040
34	31893	59230
35	32681	58101
36	33577	57171
37	34465	56233
38	35424	55407
39	36200	54300
40	37111	53404
41	37918	52363
42	38843	51489
43	39743	50583
44	40631	49660
45	41562	48790
46	42522	47951
47	43452	47073
48	44374	46185
49	45297	45297
50	46045	44239
51	46970	43357
52	47779	42370
53	48592	41393
54	49353	40380
55	50160	39411
56	50942	38430
57	51891	37576
58	52708	36627
59	53596	35731
60	54390	34774
61	55150	33802
62	56087	32940
63	57023	32075
64	57990	31225
65	58911	30348
66	59706	29407
67	60629	28531
68	61513	27636
69	62422	26752
70	63353	25876
71	64294	25003
72	65087	24073
73	65980	23182
74	66817	22272
75	67737	21390
76	68679	20514
77	69427	19581
78	70334	18696
79	71292	17823
80	72116	16916
81	73052	16035
82	73894	15135
83	74863	14259
84	75833	13382
85	76768	12497
86	77708	11611
87	78503	10705
88	79327	9804
89	80245	8916
90	81169	8027
91	82096	7138
92	83021	6248
93	83810	5349
94	84743	4460
95	85520	3563
96	86415	2672
97	87340	1782
98	88090	889
99	88864	0
