iter	Passed	Remaining
0	63	6254
1	125	6134
2	185	5998
3	244	5874
4	304	5785
5	361	5666
6	417	5552
7	474	5453
8	530	5366
9	588	5300
10	647	5241
11	703	5160
12	763	5109
13	819	5033
14	878	4980
15	936	4917
16	993	4852
17	1052	4793
18	1108	4726
19	1168	4675
20	1228	4622
21	1288	4566
22	1347	4511
23	1407	4455
24	1468	4405
25	1520	4328
26	1579	4269
27	1637	4211
28	1696	4152
29	1756	4099
30	1818	4046
31	1886	4008
32	1953	3965
33	2016	3914
34	2085	3872
35	2149	3821
36	2212	3767
37	2277	3716
38	2342	3664
39	2410	3616
40	2476	3563
41	2542	3510
42	2604	3452
43	2672	3401
44	2737	3345
45	2802	3289
46	2861	3227
47	2924	3168
48	2989	3111
49	3050	3050
50	3117	2995
51	3179	2934
52	3247	2879
53	3311	2821
54	3372	2759
55	3436	2699
56	3496	2637
57	3557	2576
58	3622	2517
59	3689	2459
60	3749	2397
61	3813	2337
62	3880	2278
63	3942	2217
64	4007	2158
65	4075	2099
66	4133	2035
67	4202	1977
68	4267	1917
69	4323	1852
70	4386	1791
71	4453	1731
72	4512	1669
73	4575	1607
74	4641	1547
75	4705	1485
76	4767	1424
77	4830	1362
78	4894	1301
79	4953	1238
80	5016	1176
81	5079	1114
82	5138	1052
83	5200	990
84	5265	929
85	5331	867
86	5395	806
87	5457	744
88	5517	681
89	5580	620
90	5642	558
91	5710	496
92	5772	434
93	5836	372
94	5898	310
95	5961	248
96	6026	186
97	6094	124
98	6152	62
99	6209	0
