iter	MultiClass
0	1.572178464
1	1.295647689
2	1.109686875
3	0.9729589956
4	0.864884844
5	0.7791905191
6	0.7078643002
7	0.6464684164
8	0.5945100865
9	0.5494914042
10	0.5103713888
11	0.4744897936
12	0.4443584494
13	0.4167001264
14	0.3931404936
15	0.3711193202
16	0.3509978595
17	0.3324862422
18	0.3166194092
19	0.3028493848
20	0.2902518128
21	0.2772342136
22	0.267192231
23	0.2563996406
24	0.2468011723
25	0.2386154515
26	0.2308034268
27	0.2233513556
28	0.2152559202
29	0.2094026337
30	0.2027393506
31	0.1932705925
32	0.1849102844
33	0.1790520628
34	0.1727352001
35	0.1687774603
36	0.1631420443
37	0.1559559782
38	0.149605269
39	0.1407395834
40	0.1330381577
41	0.127646518
42	0.1258465553
43	0.1188785554
44	0.1135406004
45	0.107585956
46	0.1051578049
47	0.100393319
48	0.09530366998
49	0.09312822164
50	0.08875309694
51	0.08656094202
52	0.08455356608
53	0.08107046089
54	0.07870403328
55	0.07607061495
56	0.07458677009
57	0.07171265818
58	0.06900699613
59	0.06603790836
60	0.06454505313
61	0.06184760456
62	0.05964167895
63	0.05717280646
64	0.05627106707
65	0.05380612306
66	0.05266936613
67	0.04971799503
68	0.04803413606
69	0.04742584879
70	0.04546556233
71	0.04312329635
72	0.04241531484
73	0.04069945822
74	0.0390189895
75	0.03742509441
76	0.03626886627
77	0.03537749684
78	0.03412130884
79	0.03362237627
80	0.0329548086
81	0.03178777362
82	0.03106865672
83	0.0298874526
84	0.0287708921
85	0.02740372068
86	0.02644358515
87	0.02603093263
88	0.02568094027
89	0.02477450346
90	0.02406082494
91	0.02294405474
92	0.02222003771
93	0.02144922827
94	0.0207720351
95	0.02015768907
96	0.01943301147
97	0.01874185362
98	0.01850682909
99	0.01827390162
