iter	Passed	Remaining
0	459	68966
1	735	54767
2	1004	49573
3	1276	46895
4	1546	45149
5	1811	43773
6	2077	42739
7	2344	41911
8	2604	41085
9	2867	40431
10	3131	39855
11	3410	39506
12	3691	39182
13	3964	38797
14	4232	38374
15	4501	37978
16	4761	37532
17	5019	37089
18	5291	36761
19	5555	36387
20	5821	36039
21	6092	35724
22	6347	35326
23	6623	35049
24	6888	34717
25	7159	34421
26	7432	34134
27	7701	33831
28	7956	33472
29	8246	33261
30	8498	32897
31	8777	32640
32	9029	32286
33	9309	32037
34	9567	31710
35	9832	31409
36	10096	31108
37	10375	30852
38	10653	30593
39	10919	30302
40	11208	30071
41	11487	29811
42	11781	29591
43	12069	29351
44	12347	29085
45	12618	28802
46	12907	28560
47	13175	28273
48	13451	28001
49	13740	27756
50	14006	27462
51	14276	27179
52	14552	26909
53	14815	26613
54	15086	26333
55	15349	26039
56	15644	25799
57	15893	25484
58	16166	25209
59	16432	24923
60	16716	24664
61	16990	24388
62	17293	24156
63	17559	23869
64	17841	23605
65	18115	23331
66	18392	23058
67	18687	22809
68	18938	22507
69	19226	22247
70	19521	21996
71	19775	21697
72	20045	21418
73	20283	21105
74	20543	20817
75	20831	20557
76	21104	20282
77	21377	20006
78	21640	19723
79	21912	19447
80	22194	19180
81	22475	18912
82	22761	18648
83	23050	18385
84	23328	18114
85	23596	17834
86	23885	17570
87	24146	17286
88	24445	17029
89	24722	16756
90	25001	16484
91	25282	16213
92	25559	15940
93	25828	15661
94	26124	15399
95	26393	15121
96	26669	14847
97	26954	14577
98	27230	14303
99	27492	14021
100	27774	13749
101	28038	13469
102	28324	13199
103	28603	12926
104	28858	12642
105	29119	12361
106	29384	12083
107	29660	11809
108	29938	11535
109	30213	11261
110	30490	10987
111	30735	10702
112	31010	10428
113	31286	10154
114	31575	9884
115	31836	9605
116	32086	9324
117	32350	9047
118	32618	8771
119	32887	8495
120	33163	8222
121	33420	7944
122	33694	7670
123	33960	7394
124	34234	7120
125	34528	6850
126	34796	6575
127	35084	6304
128	35360	6030
129	35645	5758
130	35936	5486
131	36209	5211
132	36477	4936
133	36742	4661
134	37004	4385
135	37276	4111
136	37552	3837
137	37822	3562
138	38099	3289
139	38387	3016
140	38663	2742
141	38940	2468
142	39203	2193
143	39484	1919
144	39747	1644
145	40024	1370
146	40283	1096
147	40564	822
148	40848	548
149	41133	274
150	41385	0
