iter	MultiClass
0	1.38273912
1	1.090876088
2	0.904645154
3	0.7681754306
4	0.6649317917
5	0.5841602015
6	0.5193543865
7	0.4647042765
8	0.4192737891
9	0.3814146409
10	0.3490126981
11	0.3191971307
12	0.2941079579
13	0.2727431787
14	0.254474598
15	0.2372281958
16	0.2236334759
17	0.2107519818
18	0.1978791094
19	0.1871011581
20	0.1780288271
21	0.1697460708
22	0.1624163187
23	0.1551223194
24	0.1483928976
25	0.1409689103
26	0.1356609561
27	0.1298175148
28	0.1255323821
29	0.1174250734
30	0.113990902
31	0.1091349113
32	0.104687987
33	0.09958619881
34	0.0973125341
35	0.09442732485
36	0.09146474178
37	0.08830726713
38	0.08523091441
39	0.08216050038
40	0.07781151421
41	0.0750498619
42	0.07276788201
43	0.06973846606
44	0.06712393955
45	0.06472569797
46	0.06110577913
47	0.05944145833
48	0.0574898998
49	0.05487903599
50	0.05336757872
51	0.05188102677
52	0.04996187983
53	0.048934029
54	0.04744128212
55	0.04636441949
56	0.04421458303
57	0.04320251344
58	0.04219682468
59	0.04091014085
60	0.03900159764
61	0.03801510411
62	0.03608130639
63	0.03488010304
64	0.03386847308
65	0.03315445094
66	0.03157404304
67	0.03000664299
68	0.02932566299
69	0.02825717332
70	0.02690310393
71	0.02621293201
72	0.02563036497
73	0.02519174588
74	0.02469677453
75	0.02382984867
76	0.02310913671
77	0.02234982828
78	0.02189627453
79	0.02130839683
80	0.02072547809
81	0.02007690214
82	0.01939671973
83	0.01854947144
84	0.01797207689
85	0.01763972872
86	0.01698982259
87	0.0166668158
88	0.01618665853
89	0.01568537544
90	0.01521894323
91	0.01487360731
92	0.0144049393
93	0.01417868872
94	0.01373221166
95	0.0133008024
96	0.01293198931
97	0.01259024701
98	0.01211871892
99	0.01183971473
100	0.01147660293
101	0.01125466695
102	0.01090753737
103	0.01058620994
104	0.01036745118
105	0.01015824043
106	0.009964703523
107	0.0097368502
108	0.009530498884
109	0.009308888849
110	0.009076576482
111	0.008925917984
112	0.008779947761
113	0.00859038694
114	0.00825227279
115	0.008115588681
116	0.007948227613
117	0.007776786207
118	0.007591899844
119	0.007401747414
120	0.007201960312
121	0.007079632437
122	0.006910514129
123	0.006745031511
124	0.006588691815
125	0.006402076474
126	0.006271125061
127	0.006091355293
128	0.005958846355
129	0.005781459349
130	0.005629304873
131	0.005493537066
132	0.005357747277
133	0.005250932475
134	0.005151578719
135	0.005054093365
136	0.004909908957
137	0.004818784648
138	0.004644107923
139	0.004535632285
140	0.004408044937
141	0.004330475176
142	0.004220860597
143	0.004045303368
144	0.003945742989
145	0.00380579687
146	0.003704310624
147	0.003599011583
148	0.003447533186
149	0.003322847356
150	0.003258315585
